Simba,Leone,Panthera leo,8,Maschio,Dorato,190.00,120.00,https://images.pexels.com/photos/2220336/pexels-photo-2220336.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Re della savana,2024-07-22 10:00:00,2024-07-22 10:00:00
Nala,Leone,Panthera leo,7,Femmina,Dorato,130.00,110.00,https://images.pexels.com/photos/2220336/pexels-photo-2220336.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Compagna di Simba,2024-07-22 10:00:00,2024-07-22 10:00:00
Duma,Ghepardo,Acinonyx jubatus,5,Maschio,Maculato,72.00,90.00,https://images.pexels.com/photos/2793479/pexels-photo-2793479.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Animale terrestre più veloce,2024-07-22 10:00:00,2024-07-22 10:00:00
Kibo,Elefante,Loxodonta africana,25,Maschio,Grigio,6000.00,300.00,https://images.pexels.com/photos/1054655/pexels-photo-1054655.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Il più grande mammifero terrestre,2024-07-22 10:00:00,2024-07-22 10:00:00
Zuri,Giraffa,Giraffa camelopardalis,15,Femmina,Maculato,800.00,500.00,https://images.pexels.com/photos/802112/pexels-photo-802112.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Animale terrestre più alto,2024-07-22 10:00:00,2024-07-22 10:00:00
Pumbaa,Facocero,Phacochoerus africanus,10,Maschio,Grigio,100.00,65.00,https://images.pexels.com/photos/6808565/pexels-photo-6808565.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Personaggio del Re Leone,2024-07-22 10:00:00,2024-07-22 10:00:00
Rafiki,Mandrillo,Mandrillus sphinx,20,Maschio,Multicolore,35.00,90.00,https://images.pexels.com/photos/8707398/pexels-photo-8707398.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Saggio della savana,2024-07-22 10:00:00,2024-07-22 10:00:00
Shenzi,Iena,Crocuta crocuta,6,Femmina,Maculato,70.00,80.00,https://images.pexels.com/photos/7211438/pexels-photo-7211438.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Animale carnivoro sociale,2024-07-22 10:00:00,2024-07-22 10:00:00
Timon,Suricato,Suricata suricatta,3,Maschio,Fulvo,1.00,30.00,https://images.pexels.com/photos/187196/pexels-photo-187196.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Vive in colonie numerose,2024-07-22 10:00:00,2024-07-22 10:00:00
Jambo,Rinoceronte,Ceratotherium simum,40,Maschio,Grigio,2300.00,180.00,https://images.pexels.com/photos/16040/pexels-photo.jpg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Specie minacciata,2024-07-22 10:00:00,2024-07-22 10:00:00
Zara,Zebra,Equus quagga,6,Femmina,Bianco e Nero,350.00,140.00,https://images.pexels.com/photos/750539/pexels-photo-750539.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Strisce uniche,2024-07-22 10:00:00,2024-07-22 10:00:00
Kala,Gazella,Gazella thomsonii,4,Femmina,Marrone e Bianco,20.00,85.00,https://images.pexels.com/photos/7062613/pexels-photo-7062613.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Agile e veloce,2024-07-22 10:00:00,2024-07-22 10:00:00
Mara,Leopardo,Panthera pardus,9,Femmina,Maculato,60.00,75.00,https://images.pexels.com/photos/1316297/pexels-photo-1316297.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Abile arrampicatrice,2024-07-22 10:00:00,2024-07-22 10:00:00
Tatenda,Bufalo africano,Syncerus caffer,12,Maschio,Nero,900.00,170.00,https://images.pexels.com/photos/1054650/pexels-photo-1054650.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Animale sociale,2024-07-22 10:00:00,2024-07-22 10:00:00
Tambo,Elefante della foresta,Loxodonta cyclotis,18,Maschio,Grigio,4500.00,250.00,https://images.pexels.com/photos/1054655/pexels-photo-1054655.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Più piccolo dell'elefante africano,2024-07-22 10:00:00,2024-07-22 10:00:00
Nia,Gazzella,Gazella dama,5,Femmina,Marrone e Bianco,40.00,90.00,https://images.pexels.com/photos/7062613/pexels-photo-7062613.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Elegante e veloce,2024-07-22 10:00:00,2024-07-22 10:00:00
Sekai,Leone,Panthera leo,10,Maschio,Dorato,200.00,130.00,https://images.pexels.com/photos/2220336/pexels-photo-2220336.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Leader del branco,2024-07-22 10:00:00,2024-07-22 10:00:00
Amani,Cheetah,Acinonyx jubatus,6,Femmina,Maculato,65.00,88.00,https://images.pexels.com/photos/88234/pexels-photo-88234.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Piu veloce,2024-07-22 10:00:00,2024-07-22 10:00:00
Kali,Hippopotamus,Hippopotamus amphibius,25,Maschio,Grigio,1500.00,150.00,https://images.pexels.com/photos/667201/pexels-photo-667201.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Anfibio massiccio,2024-07-22 10:00:00,2024-07-22 10:00:00
Zoba,Struzzo,Struthio camelus,7,Femmina,Nero e Bianco,140.00,250.00,https://images.pexels.com/photos/3640270/pexels-photo-3640270.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Uccello più grande,2024-07-22 10:00:00,2024-07-22 10:00:00
Mosi,Licaone,Lycaon pictus,6,Maschio,Maculato,30.00,75.00,https://images.pexels.com/photos/146037/pexels-photo-146037.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Piu sociale,2024-07-22 10:00:00,2024-07-22 10:00:00
Shani,Antilope,Gazella,8,Femmina,Marrone e Bianco,25.00,90.00,https://images.pexels.com/photos/7062613/pexels-photo-7062613.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Salta alto,2024-07-22 10:00:00,2024-07-22 10:00:00
Ajani,Elefante africano,Loxodonta africana,30,Maschio,Grigio,5500.00,300.00,https://images.pexels.com/photos/1054655/pexels-photo-1054655.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Piu grosso,2024-07-22 10:00:00,2024-07-22 10:00:00
Imara,Leone,Panthera leo,6,Femmina,Dorato,135.00,110.00,https://images.pexels.com/photos/2220336/pexels-photo-2220336.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Piu feroce,2024-07-22 10:00:00,2024-07-22 10:00:00
Mosi,Giraffa,Giraffa camelopardalis,12,Maschio,Maculato,900.00,540.00,https://images.pexels.com/photos/802112/pexels-photo-802112.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Piu alto,2024-07-22 10:00:00,2024-07-22 10:00:00
Tambo,Zebra,Equus quagga,5,Maschio,Bianco e Nero,350.00,140.00,https://images.pexels.com/photos/750539/pexels-photo-750539.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Piu veloce,2024-07-22 10:00:00,2024-07-22 10:00:00
Shani,Cammello,Camelus dromedarius,15,Femmina,Marrone,600.00,200.00,https://images.pexels.com/photos/998639/pexels-photo-998639.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Piu resistente,2024-07-22 10:00:00,2024-07-22 10:00:00
Amani,Leone,Panthera leo,4,Maschio,Dorato,180.00,125.00,https://images.pexels.com/photos/2220336/pexels-photo-2220336.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,Piu agile,2024-07-22 10:00:00,2024-07-22 10:00:00
